model,brand,year,title_status,mileage,color,state,condition,price,clase
doors,ford,2016,clean vehicle,57289.0,gray,texas,2 days left,10480,0
fiesta,ford,2019,clean vehicle,19956.0,silver,missouri,4 days left,10300,0
van,chevrolet,2019,clean vehicle,6075.0,white,washington,2 days left,22700,1
door,ford,2016,clean vehicle,21034.0,gray,texas,2 days left,7410,0
fiesta,ford,2019,clean vehicle,22881.0,gray,missouri,4 days left,10300,0
door,chevrolet,2013,clean vehicle,167600.0,gray,washington,2 days left,10300,0
door,ford,2016,clean vehicle,37252.0,white,texas,2 days left,7570,0
challenger,dodge,2019,clean vehicle,10944.0,blue,ohio,21 hours left,67000,1
impala,chevrolet,2019,clean vehicle,27601.0,white,texas,21 hours left,18900,0
doors,ford,2019,clean vehicle,15958.0,white,florida,18 hours left,12560,0
durango,dodge,2019,clean vehicle,32251.0,white,ohio,21 hours left,33000,1
impala,chevrolet,2019,clean vehicle,25809.0,black,texas,21 hours left,18300,0
cab,ford,2017,clean vehicle,30553.0,white,texas,2 days left,11760,0
durango,dodge,2019,clean vehicle,26549.0,red,ohio,21 hours left,31700,1
door,dodge,2007,salvage insurance,160528.0,dark blue,minnesota,17 hours left,25,0
door,ford,2000,salvage insurance,124969.0,black,oklahoma,17 hours left,0,0
doors,ford,2019,clean vehicle,15854.0,gray,florida,17 hours left,7340,0
door,hyundai,2017,clean vehicle,56690.0,white,connecticut,5 hours left,8200,0
door,kia,2013,clean vehicle,97142.0,silver,missouri,9 days left,3000,0
mpv,jeep,2019,clean vehicle,10185.0,black,georgia,17 hours left,6530,0
door,mazda,2009,salvage insurance,117541.0,gray,indiana,16 hours left,0,0
soul,kia,2019,clean vehicle,23514.0,silver,california,10 days left,12700,0
sorento,kia,2017,clean vehicle,86959.0,gray,north carolina,3 days left,13800,0
pickup,chevrolet,1998,salvage insurance,258631.0,gray,texas,17 hours left,0,0
door,ford,2017,salvage insurance,67279.0,gray,virginia,2 days left,725,0
doors,ford,2019,clean vehicle,16482.0,gray,florida,17 hours left,7400,0
elantra,hyundai,2017,clean vehicle,35687.0,red,connecticut,5 hours left,9800,0
door,honda,2003,salvage insurance,152608.0,white,arkansas,17 hours left,0,0
mpv,jeep,2019,clean vehicle,17911.0,green,georgia,17 hours left,4400,0
mpv,infiniti,2019,clean vehicle,21278.0,blue,florida,22 hours left,10330,0
door,chevrolet,2011,salvage insurance,47269.0,black,arkansas,17 hours left,1800,0
door,chevrolet,2008,salvage insurance,172102.0,blue,texas,18 hours left,50,0
wagon,ford,2006,clean vehicle,26914.0,no_color,florida,23 hours left,720,0
door,ford,2017,clean vehicle,67217.0,red,michigan,2 days left,22800,1
door,ford,2017,salvage insurance,78698.0,black,california,19 hours left,2500,0
door,ford,2003,salvage insurance,246065.0,gold,kansas,8 days left,0,0
mpv,gmc,2017,clean vehicle,41961.0,black,virginia,17 hours left,9190,0
mpv,jeep,2019,clean vehicle,13273.0,red,michigan,2 days left,10900,0
mpv,infiniti,2019,clean vehicle,31713.0,black,florida,22 hours left,10400,0
door,chevrolet,2004,salvage insurance,0.0,maroon,wyoming,18 hours left,0,0
door,chevrolet,2003,salvage insurance,194673.0,gray,texas,18 hours left,0,0
pickup,chevrolet,2008,clean vehicle,325611.0,silver,florida,22 hours left,7320,0
f-150,ford,2017,clean vehicle,50732.0,black,michigan,20 hours left,22809,1
van,ford,1998,salvage insurance,186855.0,blue,california,19 hours left,0,0
door,ford,2013,salvage insurance,94004.0,black,minnesota,17 hours left,0,0
